ID,Title,Author,Year,Format,File
1,Laut Bercerita,Leila S. Chudori,2017,PDF,ebook/Laut Bercerita.pdf
2,Aksi Massa,Tan Malaka,2000,PDF,ebook/Aksi Massa.pdf
3,Anak Semua Bangsa,Pramoedya Ananta Toer,2002,PDF,ebook/Anak Semua Bangsa.pdf
4,Ayat-Ayat Api,Sapardi Djoko Damono,2017,PDF,ebook/Ayat-Ayat Api.pdf
5,Bumi Manusia,Pramoedya Ananta Toer,2002,PDF,ebook/Bumi Manusia.pdf
6,Pada Senja yang Membawamu Pergi,Boy Candra,2016,PDF,ebook/Pada Senja yang Membawamu Pergi.pdf
7,Bulan,Tere Liye,2015,PDF,ebook/Bulan.pdf
8,Perahu Kertas,Dee,2009,PDF,ebook/Perahu Kertas.pdf
9,Pulang, Tere Liye,2015,PDF,ebook/Pulang.pdf
10,Pride and Prejudice, Jane Austen,2022,PDF,ebook/Pride and Prejudice.pdf
11,Ringkasan Materi VR,Ety Zuraida,2025,PDF,ebook/Ringkasan Materi VR.pdf
